timestamp,model_id,block,total_blocks,layer,rank,cost_per_rank,binary_bits,pre_quant_loss,post_quant_loss,quant_jump,normalized_jump,final_tuned_loss,residual_jump,normalized_residual_jump,utility_per_bit
2026-07-11 13:57:03,google/gemma-3-4b-it,12,34,mlp.gate_proj,1792,12816,22966272,34414.3828125,41083.71484375,6669.33203125,0.19379490451961742,35337.18359375,922.80078125,0.02681439287398233,1.167555312154377e-09
2026-07-11 13:59:15,google/gemma-3-4b-it,12,34,mlp.up_proj,1792,12816,22966272,31290.625,44468.46484375,13177.83984375,0.42114338859482675,32749.669921875,1459.044921875,0.04662882003395586,2.030317329427948e-09
2026-07-11 14:01:10,google/gemma-3-4b-it,12,34,mlp.down_proj,1792,12816,22966272,29368.041015625,32298.509765625,2930.46875,0.09978427735240736,30119.162109375,751.12109375,0.025576138815332383,1.1136391145821309e-09
2026-07-11 14:02:35,google/gemma-3-4b-it,12,34,self_attn.v_proj,608,3600,2188800,29128.248046875,32440.84375,3312.595703125,0.11372450886143799,30573.083984375,1444.8359375,0.049602569134088656,2.2661992477196937e-08
2026-07-11 14:04:01,google/gemma-3-4b-it,12,34,self_attn.o_proj,960,4624,4439040,29115.71875,33834.87890625,4719.16015625,0.1620829008815041,30172.197265625,1056.478515625,0.036285503534924754,8.174178095922712e-09
2026-07-11 14:05:39,google/gemma-3-4b-it,12,34,self_attn.q_proj,960,4624,4439040,28512.92578125,33172.8046875,4659.87890625,0.1634304014256692,30932.123046875,2419.197265625,0.08484563401823378,1.911350968187576e-08
2026-07-11 14:07:13,google/gemma-3-4b-it,12,34,self_attn.k_proj,608,3600,2188800,30184.587890625,33948.37109375,3763.783203125,0.1246922176563487,32592.177734375,2407.58984375,0.07976222343912705,3.644107430515673e-08
2026-07-11 14:10:58,google/gemma-3-4b-it,13,34,mlp.gate_proj,1888,12816,24196608,6112.642578125,6911.68115234375,799.03857421875,0.130719008024161,6173.77685546875,61.13427734375,0.010001284479241122,4.1333415325160955e-10
2026-07-11 14:13:20,google/gemma-3-4b-it,13,34,mlp.up_proj,1952,12816,25016832,5579.27392578125,7305.125,1725.85107421875,0.30933255781612906,5828.580078125,249.30615234375,0.044684336288227745,1.786170858413557e-09
2026-07-11 14:15:24,google/gemma-3-4b-it,13,34,mlp.down_proj,1792,12816,22966272,5402.07958984375,5868.5869140625,466.50732421875,0.08635698835237696,5497.943359375,95.86376953125,0.017745715874212576,7.726859576605457e-10
